#HEADER
#TITLES
 , ,J4206@speed_mph.RN_1,J4206@Steer_Angle.RN_1
#UNITS
 , ,mph,deg
#DATATYPES
Huge,Double,Float,Float
#DATA
1,0.00000,37.82514,64.18633
2,0.01000,37.82499,66.25345
3,0.02000,37.82486,68.32481
4,0.03000,37.82475,70.39167
5,0.04000,37.82465,72.44505
6,0.05000,37.82453,74.47591
7,0.06000,37.8244,76.47519
8,0.07000,37.82424,78.43395
9,0.08000,37.82404,80.34347
10,0.09000,37.8238,82.19531
11,0.10000,37.8235,83.9815
12,0.11000,37.82315,85.69458
13,0.12000,37.82274,87.3277
14,0.13000,37.82226,88.87474
15,0.14000,37.82171,90.33037
16,0.15000,37.8211,91.69012
17,0.16000,37.82042,92.95041
18,0.17000,37.81967,94.10865
19,0.18000,37.81886,95.1632
20,0.19000,37.81799,96.11341
21,0.20000,37.81707,96.95959
22,0.21000,37.81609,97.703
23,0.22000,37.81506,98.34579
24,0.23000,37.814,98.89093
25,0.24000,37.81289,99.34216
26,0.25000,37.81176,99.7039
27,0.26000,37.81059,99.98112
28,0.27000,37.80941,100.1793
29,0.28000,37.8082,100.3042
30,0.29000,37.80698,100.3619
31,0.30000,37.80574,100.3586
32,0.31000,37.8045,100.3004
33,0.32000,37.80325,100.1936
34,0.33000,37.80199,100.0439
35,0.34000,37.80073,99.85703
36,0.35000,37.79947,99.63819
37,0.36000,37.7982,99.39217
38,0.37000,37.79694,99.12322
39,0.38000,37.79567,98.83507
40,0.39000,37.7944,98.5308
41,0.40000,37.79313,98.21291
42,0.41000,37.79186,97.88323
43,0.42000,37.79059,97.54298
44,0.43000,37.78932,97.19279
45,0.44000,37.78805,96.83264
46,0.45000,37.78678,96.46202
47,0.46000,37.7855,96.0799
48,0.47000,37.78423,95.68477
49,0.48000,37.78296,95.27477
50,0.49000,37.78168,94.84767
51,0.50000,37.78042,94.40102
52,0.51000,37.77916,93.93211
53,0.52000,37.7779,93.43818
54,0.53000,37.77665,92.91633
55,0.54000,37.77542,92.36369
56,0.55000,37.7742,91.77744
57,0.56000,37.77301,91.15486
58,0.57000,37.77184,90.4934
59,0.58000,37.7707,89.7907
60,0.59000,37.7696,89.04463
61,0.60000,37.76854,88.25333
62,0.61000,37.76753,87.41521
63,0.62000,37.76657,86.52901
64,0.63000,37.76567,85.59376
65,0.64000,37.76484,84.60883
66,0.65000,37.76408,83.5739
67,0.66000,37.76339,82.48895
68,0.67000,37.76277,81.35429
69,0.68000,37.76223,80.17052
70,0.69000,37.76176,78.93848
71,0.70000,37.76137,77.65929
72,0.71000,37.76106,76.33433
73,0.72000,37.76082,74.96514
74,0.73000,37.76065,73.55347
75,0.74000,37.76054,72.10123
76,0.75000,37.76049,70.61047
77,0.76000,37.76048,69.08331
78,0.77000,37.76052,67.522
79,0.78000,37.76059,65.92879
80,0.79000,37.76067,64.30602
81,0.80000,37.76077,62.65596
82,0.81000,37.76086,60.98093
83,0.82000,37.76094,59.28318
84,0.83000,37.76099,57.56492
85,0.84000,37.76101,55.82826
86,0.85000,37.76096,54.07526
87,0.86000,37.76086,52.30786
88,0.87000,37.76067,50.52791
89,0.88000,37.7604,48.73716
90,0.89000,37.76004,46.93723
91,0.90000,37.75957,45.12965
92,0.91000,37.75899,43.31584
93,0.92000,37.75829,41.49715
94,0.93000,37.75747,39.67482
95,0.94000,37.75653,37.85004
96,0.95000,37.75547,36.02396
97,0.96000,37.75428,34.1977
98,0.97000,37.75299,32.37239
99,0.98000,37.7516,30.54916
100,0.99000,37.75011,28.7292
101,1.00000,37.74854,26.91377
102,1.01000,37.74691,25.10423
103,1.02000,37.74524,23.30207
104,1.03000,37.74354,21.50888
105,1.04000,37.74184,19.72646
106,1.05000,37.74017,17.95673
107,1.06000,37.73856,16.2018
108,1.07000,37.73703,14.46398
109,1.08000,37.73562,12.74571
110,1.09000,37.73436,11.04962
111,1.10000,37.7333,9.378479
112,1.11000,37.73246,7.735159
113,1.12000,37.73189,6.122633
114,1.13000,37.73162,4.543916
115,1.14000,37.7317,3.002034
116,1.15000,37.73217,1.49997
117,1.16000,37.73307,0.04061459
118,1.17000,37.73442,-1.373291
119,1.18000,37.73628,-2.739211
120,1.19000,37.73867,-4.054872
121,1.20000,37.74163,-5.318318
122,1.21000,37.74519,-6.527968
123,1.22000,37.74937,-7.682662
124,1.23000,37.75419,-8.781705
125,1.24000,37.75967,-9.824908
126,1.25000,37.76581,-10.81261
127,1.26000,37.77262,-11.74571
128,1.27000,37.78011,-12.62567
129,1.28000,37.78825,-13.45449
130,1.29000,37.79702,-14.23475
131,1.30000,37.8064,-14.96955
132,1.31000,37.81634,-15.66248
133,1.32000,37.82681,-16.31757
134,1.33000,37.83776,-16.93929
135,1.34000,37.84911,-17.53239
136,1.35000,37.86079,-18.10196
137,1.36000,37.87274,-18.65322
138,1.37000,37.88487,-19.19156
139,1.38000,37.89709,-19.72239
140,1.39000,37.90932,-20.25108
141,1.40000,37.92147,-20.78287
142,1.41000,37.93344,-21.32281
143,1.42000,37.94515,-21.87568
144,1.43000,37.95652,-22.4459
145,1.44000,37.96748,-23.03749
146,1.45000,37.97796,-23.65401
147,1.46000,37.9879,-24.29851
148,1.47000,37.99726,-24.97349
149,1.48000,38.00599,-25.6809
150,1.49000,38.01408,-26.42208
151,1.50000,38.02152,-27.19779
152,1.51000,38.02831,-28.0082
153,1.52000,38.03446,-28.85292
154,1.53000,38.03999,-29.73098
155,1.54000,38.04495,-30.64094
156,1.55000,38.04939,-31.58085
157,1.56000,38.05335,-32.54834
158,1.57000,38.0569,-33.54069
159,1.58000,38.06012,-34.55483
160,1.59000,38.06306,-35.58746
161,1.60000,38.06583,-36.63507
162,1.61000,38.0685,-37.69404
163,1.62000,38.07113,-38.76067
164,1.63000,38.07382,-39.83124
165,1.64000,38.07664,-40.90211
166,1.65000,38.07966,-41.96971
167,1.66000,38.08295,-43.03064
168,1.67000,38.08656,-44.08168
169,1.68000,38.09053,-45.11983
170,1.69000,38.09493,-46.14235
171,1.70000,38.09976,-47.14676
172,1.71000,38.10506,-48.1309
173,1.72000,38.11082,-49.09287
174,1.73000,38.11706,-50.03111
175,1.74000,38.12374,-50.94431
176,1.75000,38.13086,-51.83149
177,1.76000,38.13837,-52.69193
178,1.77000,38.14623,-53.52516
179,1.78000,38.15439,-54.33093
180,1.79000,38.16278,-55.10922
181,1.80000,38.17136,-55.86015
182,1.81000,38.18004,-56.58398
183,1.82000,38.18877,-57.28107
184,1.83000,38.19746,-57.95182
185,1.84000,38.20605,-58.59665
186,1.85000,38.21448,-59.21591
187,1.86000,38.22269,-59.80988
188,1.87000,38.23061,-60.37872
189,1.88000,38.23819,-60.92237
190,1.89000,38.2454,-61.44056
191,1.90000,38.2522,-61.93277
192,1.91000,38.25856,-62.39816
193,1.92000,38.26445,-62.83553
194,1.93000,38.26987,-63.24335
195,1.94000,38.27482,-63.61969
196,1.95000,38.2793,-63.96223
197,1.96000,38.28331,-64.26826
198,1.97000,38.28687,-64.53467
199,1.98000,38.29001,-64.75797
200,1.99000,38.29275,-64.93433
201,2.00000,38.29512,-65.05959
202,2.01000,38.29716,-65.12933
203,2.02000,38.2989,-65.13892
204,2.03000,38.30039,-65.08358
205,2.04000,38.30166,-64.95842
206,2.05000,38.30275,-64.75857
207,2.06000,38.3037,-64.47924
208,2.07000,38.30455,-64.11581
209,2.08000,38.30533,-63.66392
210,2.09000,38.30608,-63.11959
211,2.10000,38.30682,-62.47929
212,2.11000,38.30759,-61.74004
213,2.12000,38.3084,-60.89951
214,2.13000,38.30927,-59.95608
215,2.14000,38.31023,-58.90897
216,2.15000,38.31127,-57.75825
217,2.16000,38.31242,-56.50494
218,2.17000,38.31366,-55.15102
219,2.18000,38.31499,-53.69948
220,2.19000,38.31643,-52.15434
221,2.20000,38.31795,-50.52062
222,2.21000,38.31955,-48.80436
223,2.22000,38.32121,-47.01254
224,2.23000,38.32292,-45.15308
225,2.24000,38.32466,-43.23472
226,2.25000,38.32642,-41.26698
227,2.26000,38.32818,-39.26001
228,2.27000,38.32993,-37.22456
229,2.28000,38.33164,-35.17178
230,2.29000,38.3333,-33.11314
231,2.30000,38.3349,-31.06028
232,2.31000,38.33641,-29.02486
233,2.32000,38.33784,-27.01846
234,2.33000,38.33916,-25.05236
235,2.34000,38.34037,-23.13749
236,2.35000,38.34145,-21.28423
237,2.36000,38.34241,-19.5023
238,2.37000,38.34323,-17.80065
239,2.38000,38.34391,-16.18736
240,2.39000,38.34446,-14.66951
241,2.40000,38.34485,-13.25315
