#HEADER
#TITLES
 , ,J4206@speed_mph.RN_1,J4206@Steer_Angle.RN_1
#UNITS
 , ,mph,deg
#DATATYPES
Huge,Double,Float,Float
#DATA
1,0.00000,47.51465,20.28415
2,0.01000,47.51659,21.41884
3,0.02000,47.51886,22.61989
4,0.03000,47.52147,23.88785
5,0.04000,47.52444,25.22271
6,0.05000,47.52781,26.62385
7,0.06000,47.53158,28.09009
8,0.07000,47.53576,29.61963
9,0.08000,47.54037,31.21015
10,0.09000,47.5454,32.85872
11,0.10000,47.55085,34.56192
12,0.11000,47.55672,36.31583
13,0.12000,47.56298,38.11604
14,0.13000,47.56961,39.95774
15,0.14000,47.57659,41.83572
16,0.15000,47.58388,43.74445
17,0.16000,47.59145,45.67809
18,0.17000,47.59924,47.63059
19,0.18000,47.60723,49.59572
20,0.19000,47.61535,51.56713
21,0.20000,47.62355,53.53839
22,0.21000,47.63179,55.5031
23,0.22000,47.64001,57.45488
24,0.23000,47.64816,59.38749
25,0.24000,47.65619,61.29484
26,0.25000,47.66405,63.17108
27,0.26000,47.67171,65.01061
28,0.27000,47.67913,66.80818
29,0.28000,47.68626,68.55888
30,0.29000,47.6931,70.25821
31,0.30000,47.69961,71.9021
32,0.31000,47.70578,73.48695
33,0.32000,47.71161,75.00961
34,0.33000,47.71708,76.46748
35,0.34000,47.72219,77.85841
36,0.35000,47.72695,79.18079
37,0.36000,47.73137,80.43349
38,0.37000,47.73547,81.61588
39,0.38000,47.73925,82.72778
40,0.39000,47.74273,83.76947
41,0.40000,47.74594,84.74163
42,0.41000,47.74889,85.64532
43,0.42000,47.75161,86.48193
44,0.43000,47.75412,87.25314
45,0.44000,47.75643,87.96085
46,0.45000,47.75858,88.60715
47,0.46000,47.76058,89.19424
48,0.47000,47.76245,89.72442
49,0.48000,47.76421,90.19996
50,0.49000,47.76588,90.6231
51,0.50000,47.76748,90.99599
52,0.51000,47.769,91.32062
53,0.52000,47.77047,91.59877
54,0.53000,47.7719,91.832
55,0.54000,47.77328,92.02158
56,0.55000,47.77464,92.16846
57,0.56000,47.77596,92.27329
58,0.57000,47.77726,92.33635
59,0.58000,47.77853,92.35755
60,0.59000,47.77978,92.33646
61,0.60000,47.78101,92.27227
62,0.61000,47.78223,92.16385
63,0.62000,47.78343,92.00972
64,0.63000,47.78462,91.8081
65,0.64000,47.78581,91.55696
66,0.65000,47.78701,91.25401
67,0.66000,47.78823,90.89677
68,0.67000,47.78948,90.48264
69,0.68000,47.79079,90.00887
70,0.69000,47.79217,89.47269
71,0.70000,47.79365,88.87132
72,0.71000,47.79526,88.20203
73,0.72000,47.79702,87.46217
74,0.73000,47.79898,86.64926
75,0.74000,47.80116,85.761
76,0.75000,47.80361,84.7953
77,0.76000,47.80636,83.75038
78,0.77000,47.80945,82.62472
79,0.78000,47.81293,81.41717
80,0.79000,47.81683,80.1269
81,0.80000,47.82118,78.75349
82,0.81000,47.82603,77.29688
83,0.82000,47.83142,75.75742
84,0.83000,47.83736,74.13583
85,0.84000,47.84389,72.43325
86,0.85000,47.85103,70.65118
87,0.86000,47.85878,68.79146
88,0.87000,47.86717,66.85631
89,0.88000,47.87618,64.84823
90,0.89000,47.88581,62.77002
91,0.90000,47.89605,60.62474
92,0.91000,47.90686,58.41564
93,0.92000,47.91821,56.14618
94,0.93000,47.93005,53.81994
95,0.94000,47.94233,51.44061
96,0.95000,47.95498,49.01193
97,0.96000,47.96795,46.53767
98,0.97000,47.98112,44.02159
99,0.98000,47.99445,41.46738
100,0.99000,48.00782,38.87867
101,1.00000,48.02114,36.25895
102,1.01000,48.03433,33.61159
103,1.02000,48.04729,30.93977
104,1.03000,48.05994,28.24652
105,1.04000,48.07218,25.53464
106,1.05000,48.08393,22.80674
107,1.06000,48.09513,20.06523
108,1.07000,48.10572,17.3123
109,1.08000,48.11564,14.54995
110,1.09000,48.12485,11.77997
111,1.10000,48.13332,9.00399
112,1.11000,48.14102,6.223485
113,1.12000,48.14796,3.439784
114,1.13000,48.15413,0.6541101
115,1.14000,48.15953,-2.132399
116,1.15000,48.16421,-4.918666
117,1.16000,48.16819,-7.703643
118,1.17000,48.17149,-10.48628
119,1.18000,48.17417,-13.26552
120,1.19000,48.17628,-16.04022
121,1.20000,48.17787,-18.8092
122,1.21000,48.17899,-21.57114
123,1.22000,48.17971,-24.32464
124,1.23000,48.18008,-27.06812
125,1.24000,48.18017,-29.79989
126,1.25000,48.18002,-32.51805
127,1.26000,48.1797,-35.22055
128,1.27000,48.17924,-37.90517
129,1.28000,48.17872,-40.56948
130,1.29000,48.17816,-43.21091
131,1.30000,48.1776,-45.82669
132,1.31000,48.17709,-48.4139
133,1.32000,48.17664,-50.96948
134,1.33000,48.17629,-53.49021
135,1.34000,48.17606,-55.97276
136,1.35000,48.17595,-58.41368
137,1.36000,48.17598,-60.80945
138,1.37000,48.17617,-63.15644
139,1.38000,48.17651,-65.45098
140,1.39000,48.17701,-67.68932
141,1.40000,48.17766,-69.86769
142,1.41000,48.17847,-71.98228
143,1.42000,48.17945,-74.02926
144,1.43000,48.18058,-76.00479
145,1.44000,48.18187,-77.90504
146,1.45000,48.18332,-79.72619
147,1.46000,48.18494,-81.4644
148,1.47000,48.18674,-83.11591
149,1.48000,48.18873,-84.67693
150,1.49000,48.19092,-86.14378
151,1.50000,48.19333,-87.51274
152,1.51000,48.19596,-88.78021
153,1.52000,48.19886,-89.94261
154,1.53000,48.20205,-90.99641
155,1.54000,48.20554,-91.93815
156,1.55000,48.20938,-92.76444
157,1.56000,48.21358,-93.47198
158,1.57000,48.21819,-94.05752
159,1.58000,48.22322,-94.51794
160,1.59000,48.22871,-94.8502
161,1.60000,48.23468,-95.05144
162,1.61000,48.24117,-95.11887
163,1.62000,48.24818,-95.04996
164,1.63000,48.25575,-94.84232
165,1.64000,48.26388,-94.49383
166,1.65000,48.27257,-94.00262
167,1.66000,48.28183,-93.36713
168,1.67000,48.29164,-92.58617
169,1.68000,48.30199,-91.65891
170,1.69000,48.31285,-90.58497
171,1.70000,48.32418,-89.36442
172,1.71000,48.33594,-87.99786
173,1.72000,48.34806,-86.48642
174,1.73000,48.36049,-84.83183
175,1.74000,48.37313,-83.03642
176,1.75000,48.38591,-81.10317
177,1.76000,48.39873,-79.03571
178,1.77000,48.41147,-76.83833
179,1.78000,48.42404,-74.51601
180,1.79000,48.43632,-72.07444
181,1.80000,48.4482,-69.51992
182,1.81000,48.45955,-66.85945
183,1.82000,48.47026,-64.10064
184,1.83000,48.48023,-61.2517
185,1.84000,48.48936,-58.32138
186,1.85000,48.49755,-55.31896
187,1.86000,48.50472,-52.25412
188,1.87000,48.51081,-49.13693
189,1.88000,48.51576,-45.97777
190,1.89000,48.51954,-42.78722
191,1.90000,48.52211,-39.57599
192,1.91000,48.52349,-36.35485
193,1.92000,48.52368,-33.13451
194,1.93000,48.52271,-29.92556
195,1.94000,48.52061,-26.73834
196,1.95000,48.51747,-23.58292
197,1.96000,48.51334,-20.46895
198,1.97000,48.50832,-17.40565
199,1.98000,48.50249,-14.40172
200,1.99000,48.49597,-11.46526
201,2.00000,48.48887,-8.603762
202,2.01000,48.4813,-5.824068
203,2.02000,48.47338,-3.132324
204,2.03000,48.46523,-0.5339827
205,2.04000,48.45695,1.966212
206,2.05000,48.44868,4.364214
207,2.06000,48.4405,6.656663
208,2.07000,48.43251,8.840863
209,2.08000,48.42482,10.91475
210,2.09000,48.41747,12.87685
211,2.10000,48.41056,14.72624
212,2.11000,48.40413,16.46251
213,2.12000,48.39823,18.08567
214,2.13000,48.39289,19.59616
215,2.14000,48.38812,20.99472
216,2.15000,48.38395,22.28238
217,2.16000,48.38037,23.4604
218,2.17000,48.37738,24.53017
219,2.18000,48.37494,25.49321
220,2.19000,48.37304,26.35109
221,2.20000,48.37164,27.10537
222,2.21000,48.3707,27.7576
223,2.22000,48.37018,28.30921
224,2.23000,48.37003,28.76156
225,2.24000,48.3702,29.11586
226,2.25000,48.37064,29.37315
227,2.26000,48.37128,29.53431
228,2.27000,48.37209,29.60005
229,2.28000,48.37301,29.5709
230,2.29000,48.37399,29.4472
231,2.30000,48.37498,29.22917
232,2.31000,48.37595,28.91688
233,2.32000,48.37683,28.51027
234,2.33000,48.37762,28.00922
235,2.34000,48.37826,27.41356
236,2.35000,48.37874,26.7231
237,2.36000,48.37904,25.93768
238,2.37000,48.37913,25.05722
239,2.38000,48.37901,24.08174
240,2.39000,48.37867,23.0114
241,2.40000,48.37811,21.84657
242,2.41000,48.37733,20.58784
243,2.42000,48.37634,19.23606
